Company Name,Website,Company Description,Industry,Founder Name,Founder LinkedIn ,Founded,Team Size,Location,Socials
Raycaster,https://raycaster.ai,Raycaster helps companies sell complex technical products by surfacing hidden insights about their prospects. Our customers use us to automatically uncover everything from lab equipment specifications to API performance metrics - research that traditionally took weeks of manual digging.,Research and Sales Intelligence,"Levi Lian, Anthony Humay","https://linkedin.com/in/levi-lian, https://linkedin.com/in/ahumay",2024,2,"San Francisco, CA, US / New York, NY, US / Remote",https://www.linkedin.com/company/raycasterai
Sunset,https://www.sunsetapp.com/,"Sunset can track down bank accounts, retirement accounts, investment accounts, property and more for families after losing a loved one. Sunset will close those accounts and move the money into a Sunset estate account to manage.","fintech, consumer-finance","Stephen Walter, Kaela Worthen","https://www.linkedin.com/in/stephen-walter-sunset/, https://www.linkedin.com/in/kaelaworthen/",2024,2,N/A,https://x.com/SunsetEstateApp
ArchiLabs,https://archilabs.ai,"ArchiLabs is building an AI co-pilot for architecture that allows architects to 10x their design speed with simple AI prompts, automating tedious tasks in CAD tools.","artificial intelligence, saas, construction, b2b, proptech","Brian Bakerman, William Meng","https://linkedin.com/in/brianbakerman, https://linkedin.com/in/william-meng/",2024,2,"San Francisco, CA, US",https://www.linkedin.com/company/archilabs-ai/
HealthSpark,https://www.joinhealthspark.com,"HealthSpark empowers physical therapists to launch and run an AI-native independent practice by automating admin tasks like insurance, scheduling, handling calls and texts, and charting.","artificial-intelligence, health-tech, digital-health, healthcare, ai","Stephen Grinich, Jonah Tuchow","https://www.linkedin.com/in/stephengrinich, https://www.linkedin.com/in/jonah-tuchow-3302628a/",2024,2,San Francisco,https://www.linkedin.com/company/health-spark
Pearson Labs,http://www.pearsonlabs.ai,"AI agents to automate corporate transactions. Pearson builds AI agents to automate corporate transactions. Large law firms use us to run gigantic books of businesses with AI, reducing their cost of delivery 40-60%.","generative-ai, legal, legaltech, ai","Stephanie Young, Qi Yang","https://www.linkedin.com/in/stephanieyoung1/, https://www.linkedin.com/in/qi-yang-mit/",2024,2,San Francisco,https://www.linkedin.com/in/stephanieyoung1/
Sphinx,https://sphinxlabs.ai/,"Sphinx automates the manual work of compliance analysts. Our AI agents make AML decisions, helping banks and fintech eliminate onboarding bottlenecks.","Fintech, B2B, Compliance, AI","Alexandre Berkovic, Chrisjan Wust","https://linkedin.com/in/alexandreberkovic, https://linkedin.com/in/chrisjan-wust",2024,2,San Francisco,https://linkedin.com/company/sphinx-hq
fixa,https://www.fixa.dev,"Fixa is the Sentry for AI voice agents. It helps companies like 11x and OfOne run simulated tests, analyze production calls, and fix bugs in their voice agents automatically, providing developers with precise and actionable insights.","AI, AI Assistant","Oliver Wendell-Braly, Jonathan Liu","https://www.linkedin.com/in/oliverbraly/, https://linkedin.com/in/jonathan-z-liu",2024,2,San Francisco,https://www.linkedin.com/company/fixadev
HumanLayer,https://humanlayer.dev,"HumanLayer is an API that enables AI applications to contact humans for help, feedback, and approvals, designed for managing complex workflows.",AI,Dexter Horthy,https://linkedin.com/in/dexterihorthy,2023,1,"San Francisco, CA, US",https://twitter.com/humanlayer_dev
SRE.ai,https://sre.ai,"SRE.ai provides AI Agents to power Low-Code DevOps for Low-Code Platforms like Salesforce, SAP, NetSuite, etc.","developer-tools, b2b, devops, infrastructure, ai","Raj Kadiyala, Edward Aryee","https://www.linkedin.com/in/rajsekhark/, https://www.linkedin.com/in/edwardaryee/",2024,N/A,San Francisco,https://www.linkedin.com/company/sreai
Fabricate,https://www.tryfabricate.com,"Fabricate builds procurement software for hardware teams, helping engineers manage manufacturing feasibility and procurement across their suppliers, whether they're getting parts custom manufactured or buying them off-the-shelf.","artificial-intelligence, b2b, manufacturing","Lucas Crupi, Ethan Breit","https://linkedin.com/in/lucas-crupi-4a7037177, https://linkedin.com/in/ethan-breit-a7ba81180",2024,2,N/A,https://www.tryfabricate.com
Fix AI,https://tryfix.ai,AI agents that navigate websites like real users to find bugs,"artificial-intelligence, developer-tools, ai","Arav Seth, Kesav Kosana","https://www.linkedin.com/in/aravseth, https://linkedin.com/in/kesavkosana",2024,2,San Francisco,https://linkedin.com/in/aravseth
Lightscreen AI,https://lightscreen.ai,"Lightscreen’s voice + video AI interviewer enables companies to identify and invest in genuinely skilled candidates. It's already being used by high-growth startups and recruiting agencies to screen technical candidates. We provide companies with a voicebot that can run a full-length technical interview, does smart interruptions, and multi-modal cheating detection. The AI provides the company rubric-based, rich candidate evaluation in minutes and can be fully customized to ask questions and evaluate based on the company's needs.","artificial-intelligence, saas, recruiting, talent-acquisition, conversational-ai","Prachie Banthia, Gavin Saldanha","https://www.linkedin.com/in/prachiebanthia/, https://www.linkedin.com/in/gavin-v-saldanha/",2024,2,"Sunnyvale, CA",https://www.linkedin.com/company/103745353
Upshift,https://upshift.dev,"Upshift is tooling for plugin systems. We help product companies support extension points, which enable them and their users to build and share additional functionality on top of their core product offerings. Extensibility with Upshift drives more sales, better retention, and compounds value over time. Up until now, only the biggest companies have had the resources to build these types of systems because it can take years and massive upfront engineering investment to ship something. We cut the time-to-production down to weeks.","Developer Tools, SaaS, B2B","Adam Suskin, Thomas Baker","https://www.linkedin.com/in/adamsuskin/, https://www.linkedin.com/in/thomas-baker-457789129/",2024,2,"Charlotte, NC",https://www.linkedin.com/company/upshift-dev/
Durate,https://www.durate.com/,We build automated scheduling software for hospitals,"saas, healthcare, healthcare-it","Michael Mounajjed, Benjamin Liu","https://www.linkedin.com/in/michael-mounajjed, https://www.linkedin.com/in/ben-franklin-liu/",2024,3,N/A,https://www.linkedin.com/company/docflowsoftware
Diffusion Studio,https://diffusion.studio/,"Diffusion Studio is an AI-powered video editing application that automates repetitive editing tasks right in the browser, allowing anyone to import video footage and generate publish-ready videos.","artificial-intelligence, consumer, video, media, ai","Konstantin Paulus, Matthias Ruiz","https://www.linkedin.com/in/konstantin-paulus, https://www.linkedin.com/in/matthias-ruiz-hamacher-769766176/",2023,2,San Francisco,https://linkedin.com/company/diffusionstudio
Symphony,https://getsymphony.co,"Symphony helps enterprises train their customer-facing employees using interactive AI voice simulations of real-world scenarios, allowing teams to practice their jobs and avoid costly mistakes with real customers.","artificial-intelligence, saas, b2b, hr-tech","Murtaza Ali, Shobhit Srivastava","https://www.linkedin.com/in/-murtazaali/, https://linkedin.com/in/shobhit-srivastava",2024,2,New York,https://www.linkedin.com/company/talk-to-symphony/
Regatta Storage,https://regattastorage.com,"Regatta transforms S3 buckets into a 30x faster, unlimited, local disk. Regatta enables AI, analytics, and serverless applications to instantly access massive data sets without waiting for data transfer.","developer-tools, big-data, cloud-computing, infrastructure, ai",Hunter Leath,https://www.linkedin.com/in/hleath/,2024,2,San Francisco,https://www.linkedin.com/company/regatta-storage
vly.ai,https://vly.ai,"vly.ai completely replaces the full-stack developer for companies. We combine the highest-ranking swe-bench agent with a no-code platform to eliminate the developer layer and automate the deployment, hosting, & scaling of production applications.","artificial-intelligence, saas, enterprise-software, web-development","Victor Cheng, Manav Bokinala","https://www.linkedin.com/in/victor-cheng-89a161180/, https://www.linkedin.com/in/mbokinala/",2024,2,San Francisco,https://linkedin.com/company/vly-ai
Ryvn,https://ryvn.ai,"Deploy, update, and monitor applications in customer clouds / on-prem","aiops, developer-tools, saas, devops, infrastructure","Albert Lam, Shardool Patel","https://www.linkedin.com/in/simplyalam/, https://www.linkedin.com/in/sp97/",2024,2,San Francisco,https://www.linkedin.com/company/105480942/
Replexica,https://replexica.com/,"Replexica automates the localization process end-to-end. It produces authentic translations instantly and eliminates translation management and manual work. Our AI generates pull requests with translations when developers commit UI code changes, avoiding the typical back-and-forth with translation agencies. This helps teams do localization 100x faster, ship to production more often, without bottlenecks.","developer-tools, b2b, open-source, international, ai","Max Prilutskiy, Veronica Prilutskaya","https://www.linkedin.com/in/maxprilutskiy, https://www.linkedin.com/in/vrcprl/",2024,2,San Francisco,https://www.linkedin.com/in/maxprilutskiy
Gecko Security,https://gecko.security,"Gecko uses AI to understand how your application should work, simulates relevant attacks to find critical vulnerabilities, and verifies these vulnerabilities by exploiting them. It also helps you understand the risk of these vulnerabilities and applies a working fix to keep your code secure.","artificial-intelligence, saas, b2b, security, cybersecurity","Jeevan Jutla, Artemiy Malyshau","https://www.linkedin.com/in/jeevan-jutla/, https://www.linkedin.com/in/artemiy-malyshau/",2024,2,San Francisco,https://www.linkedin.com/company/geckosec
OpenFunnel,https://openfunnel.dev,"OpenFunnel builds personalized AI Agents for GTM teams that understand their product, find prospects showing intent, and greatly enhance meetings booked, particularly for B2B SaaS companies.","generative-ai, b2b","Fenil Suchak, Aditya Lahiri","https://linkedin.com/in/fenilsuchak, https://www.linkedin.com/in/adityalahiri/",2024,2,San Francisco,https://x.com/openfunnel
Curo,https://www.curocharging.com/,"Curo enables electric vehicle fleets to lease EV chargers, allowing EV charger owners to increase their revenue while providing fleets with the ability to electrify instantly at a fraction of the cost.","transportation, energy, automotive","Kieran White, Andrew Porter","https://linkedin.com/in/kieran-luke-white, https://linkedin.com/in/andrew--porter/",2023,6,San Francisco,https://www.linkedin.com/company/curocharging/
Vespper,https://vespper.com,"AI agent that troubleshoots production alerts for software engineers, helping teams reduce downtime and alert fatigue by surfacing the right data at the right time.","aiops, developer-tools, b2b, devops, ai-assistant","Topaz Turkenitz, Dudu Lasry","https://linkedin.com/in/topaz-t, https://linkedin.com/in/dudu-lasry-05022879",2024,2,"Tel Aviv-Yafo, Israel",https://www.linkedin.com/company/vespper
